User ID,Time (UTC),Survey Completion,Publisher Category,Gender,Age,Geography,Weight,Question #1 Answer,Question #2 Answer,Question #3 Synonym Group,Question #3 Raw Response,Response Time #1 (ms),Response Time #2 (ms),Response Time #3 (ms)
1245726898,2020-07-27 19:00:00,Complete,News,Female,45-54,US-WEST-CA-San Francisco,,Yes,2,no comment,no comment,830750.0,5744.0,12840.0
1524981204,2020-07-27 17:00:00,Complete,News,Female,25-34,US-WEST-CA-San Francisco,,No,3,No experience,No experience,39033.0,5654.0,18034.0
1603522938,2020-07-23 22:00:00,Complete,News,Male,35-44,US-WEST-CA-San Francisco,,No,3,"Feel bad for the amount of time they spend dealing with homeless populations, but at same time don't really see them doing much at times. If I see a cop, I feel like 80% of the time they are sitting a car looking at their phone.","Feel bad for the amount of time they spend dealing with homeless populations, but at same time don't really see them doing much at times. If I see a cop, I feel like 80% of the time they are sitting a car looking at their phone.",10479.0,4012.0,83868.0
1948114209,2020-07-25 15:00:00,Complete,News,Female,35-44,US-WEST-CA-San Francisco,,No,4,generally things are orderly,generally things are orderly,10029.0,5573.0,9280.0
2066258135,2020-07-25 21:00:00,Complete,News,Male,55-64,US-WEST-CA-San Francisco,,No,5,never had problem with them. as matter of fact they were always helpful. defunding police is absolutely stupid and immoral.,never had problem with them. as matter of fact they were always helpful. defunding police is absolutely stupid and immoral.,40205.0,16268.0,188142.0
2095247558,2020-07-27 02:00:00,Complete,News,Male,45-54,US-WEST-CA-San Francisco,,No,5,none,none,6235.0,4150.0,11885.0
2134335292,2020-07-24 18:00:00,Complete,News,Male,25-34,US-WEST-CA-San Francisco,,Prefer not to answer,2,n/a,n/a,38047.0,2526.0,5159.0
257734540,2020-07-26 21:00:00,Complete,News,Female,25-34,US-WEST-CA-San Francisco,,No,1,"Cops don't help people like me, we are always seen as guilty. DEFUND THE POLICE","Cops don't help people like me, we are always seen as guilty. DEFUND THE POLICE",7010.0,4498.0,40856.0
348058348,2020-07-24 21:00:00,Complete,News,Male,35-44,US-WEST-CA-San Francisco,,No,4,I have never had negative experiences with them personally but I sometimes wish they could do more to help improve our city streets and get help for those with mental illness.,I have never had negative experiences with them personally but I sometimes wish they could do more to help improve our city streets and get help for those with mental illness.,17738.0,7055.0,46378.0
636058371,2020-07-25 01:00:00,Complete,Other,Male,45-54,US-WEST-CA-San Francisco,,Yes,3,"In order to keep order in the society, low enforcement is necessity. However, there are so many officers who are abusive of their authority.","In order to keep order in the society, low enforcement is necessity. However, there are so many officers who are abusive of their authority.",44782.0,7923.0,68210.0
